Experiment,TowerType,Built,Upgrade,Sold,Damage,EnemySlain,Average Score
0,Archer,29,24,19,4704,111,123.77,
0,Mage,22,2,18,2610,55,92.17,
0,Mortar,16,3,9,7717,101,205.24,
1,Archer,29,24,19,4704,111,123.77,
1,Mage,22,2,18,2610,55,92.17,
1,Mortar,16,3,9,7717,101,205.24,
2,Archer,29,24,19,4704,111,123.77,
2,Mage,22,2,18,2610,55,92.17,
2,Mortar,16,3,9,7717,101,205.24,
3,Archer,29,24,19,4704,111,123.77,
3,Mage,22,2,18,2610,55,92.17,
3,Mortar,16,3,9,7717,101,205.24,
4,Archer,29,24,19,4704,111,123.77,
4,Mage,22,2,18,2610,55,92.17,
4,Mortar,16,3,9,7717,101,205.24,
